x,Attractor colors,Unknown functions,Arity range,One-step (ms),Permanent (ms),Temporary (ms),Old one-step (ms)
group_1_1,4,2,1-1,401,48507,5947434,x
group_1_10,20,3,1-2,729,94781,10165973,x
group_1_11,19,1,3-3,995,241764,13478479,x
group_1_12,14,1,3-3,841,90222,14434260,x
group_1_13,6,1,3-3,1018,335015,21088976,x
group_1_14,6,2,1-2,611,59103,9876618,x
group_1_15,6,2,1-2,535,57664,5932770,x
group_1_16,4,2,1-1,886,100409,8924445,x
group_1_17,2,1,1-1,547,95673,8741958,x
group_1_18,2,1,1-1,347,46323,5187438,x
group_1_19,5,1,2-2,358,46167,4038844,x
group_1_2,8,3,1-1,389,45890,5805889,x
group_1_20,4,3,0-1,379,46212,5179734,x
group_1_3,2,1,1-1,664,91514,7081253,x
group_1_4,18,3,1-2,968,196149,x,x
group_1_5,1,2,0-0,514,87775,5961889,x
group_1_6,2,1,1-1,431,47532,5551473,x
group_1_7,9,2,2-2,799,80692,13984264,x
group_1_8,2,1,1-1,692,96045,7830862,x
group_1_9,9,2,2-2,969,140773,26114423,x
group_2_1,38,2,1-3,3719,346631,x,x
group_2_10,336,5,1-3,1430,168112,16992802,x
group_2_11,48,7,0-2,1240,122938,41158433,x
group_2_12,264,6,0-3,1473,548039,38273564,x
group_2_13,1008,7,0-3,1133,141143,10851267,x
group_2_14,380,4,1-3,838,148603,21140561,x
group_2_15,760,6,0-3,1716,459792,10182668,x
group_2_16,456,5,1-3,2249,355184,x,x
group_2_17,168,2,1-4,2278,1484688,52332511,x
group_2_18,560,5,1-3,839,86070,12008913,x
group_2_19,560,5,1-3,1127,110692,8070202,x
group_2_2,350,3,2-3,795,149586,46493672,x
group_2_20,456,5,1-3,1664,186061,x,x
group_2_3,336,5,1-3,2343,431833,58090426,x
group_2_4,336,5,1-3,1203,156642,35149734,x
group_2_5,100,5,0-2,710,163177,31612622,x
group_2_6,672,4,1-4,3544,1249821,45378081,x
group_2_7,167,1,4-4,1169,94573,6715514,x
group_2_8,240,7,0-2,2578,108279,26496346,x
group_2_9,280,5,0-3,1163,336453,23973533,x
group_3_1,14028,5,0-4,2283,226611,11679688,x
group_3_10,1656,6,1-3,1143,344620,29710547,x
group_3_11,16464,3,3-4,6414,5126071,x,x
group_3_12,21280,9,0-3,2577,264311,x,x
group_3_13,2016,4,1-4,1715,67908,x,x
group_3_14,26760,6,1-3,24477,4115812,x,x
group_3_15,9400,6,0-3,4107,4761704,66656219,x
group_3_16,1368,6,1-3,3360,445034,x,x
group_3_17,14112,5,1-4,9659,823741,75472363,x
group_3_18,31920,7,1-3,7809,1489236,x,x
group_3_19,19038,4,1-4,15838,28842093,x,x
group_3_2,19800,6,1-3,39705,27793283,x,x
group_3_20,1680,4,1-4,4421,1132855,76831081,x
group_3_3,4676,3,1-4,1680,165991,16038102,x
group_3_4,11907,3,0-5,17548,4014847,x,x
group_3_5,9408,7,0-4,7795,1852384,63174306,x
group_3_6,8400,6,0-4,1613,70494,x,x
group_3_7,4008,5,1-4,3997,288828,x,x
group_3_8,8032,3,1-5,8999,884554,45322734,x
group_3_9,1600,9,0-2,1209,106239,20664447,x
group_4_1,266000,8,1-3,6759,2313332,x,x
group_4_10,674688,6,1-5,14092,1443929,x,x
group_4_11,177688,5,1-4,3775,925043,23862289,x
group_4_12,42084,3,2-4,10374,790945,x,x
group_4_13,33600,7,1-4,7793,598225,47341778,x
group_4_14,268965,6,0-5,28145,6196944,x,x
group_4_15,191520,6,1-4,4422,3601314,x,x
group_4_16,56448,8,0-4,15969,2388621,x,x
group_4_17,112896,10,1-3,3315,205642,72130645,x
group_4_18,561120,9,0-4,16647,5912506,x,x
group_4_19,634600,7,1-4,176415,83470148,x,x
group_4_2,40160,5,0-5,15589,1553044,43112067,x
group_4_20,338688,7,1-4,19097,11003329,x,x
group_4_3,235200,10,0-4,18019,726509,x,x
group_4_4,277200,10,0-3,13591,1947995,x,x
group_4_5,292250,5,2-4,13915,31699708,x,x
group_4_6,53200,7,1-3,3580,372207,x,x
group_4_7,53440,9,0-4,13570,2202221,x,x
group_4_8,523712,8,0-4,8097,2907979,x,x
group_4_9,211680,8,0-4,6171,18059982,x,x
group_5_1,3638880,8,1-4,16060,8976698,x,x
group_5_10,4664112,5,1-5,50615,x,x,x
group_5_11,8215296,7,1-4,254996,x,x,x
group_5_12,14056056,7,1-4,18251,14930238,x,x
group_5_13,1523040,9,1-4,6265,996691,x,x
group_5_14,3825360,9,1-4,22854,1255705,x,x
group_5_15,5341280,5,1-5,72164,10323382,x,x
group_5_16,6546400,8,1-4,2753,291038,82325805,x
group_5_17,18516960,10,0-4,7420,11233562,x,x
group_5_18,8618400,9,1-4,23485,8264744,x,x
group_5_19,3366720,8,1-4,9005,236996,x,x
group_5_2,10100160,10,0-4,42296,6286359,x,x
group_5_20,1070580,7,1-5,27396,8247800,x,x
group_5_3,1258000,7,0-5,70529,23344968,x,x
group_5_4,6844320,8,0-4,8826,2434649,x,x
group_5_5,6693360,9,0-4,18526,4439942,x,x
group_5_6,4462640,9,1-3,65149,8214272,x,x
group_5_7,2183328,8,1-4,43733,13169088,x,x
group_5_8,32404680,6,2-4,51601,21550799,x,x
group_5_9,4189696,10,1-4,8320,616630,x,x
group_6_1,109979520,9,0-4,33640,3335912,x,x
group_6_10,248703616,9,0-5,59337,24409596,x,x
group_6_11,565664416,8,1-4,340962,x,x,x
group_6_12,200245560,8,1-5,79618,40399152,x,x
group_6_13,444988208,9,0-5,146138,31697543,x,x
group_6_14,44440704,10,1-4,10400,2781687,x,x
group_6_15,45997722,5,1-5,88995,75041785,x,x
group_6_16,151495440,8,1-5,33310,7337176,x,x
group_6_17,47134080,9,0-4,23827,867214,x,x
group_6_18,364218600,9,0-5,179944,50014116,x,x
group_6_19,100548000,10,1-4,119049,22618355,x,x
group_6_2,52710000,7,2-5,71109,6459279,x,x
group_6_20,88798976,7,1-5,32286,23739591,x,x
group_6_3,274144312,6,1-5,169011,x,x,x
group_6_4,41065920,9,1-4,47744,52945635,x,x
group_6_5,33734400,9,1-5,19184,2038145,x,x
group_6_6,44622400,10,1-4,24397,12441192,x,x
group_6_7,883948800,10,1-5,18235,4003425,x,x
group_6_8,195943104,8,1-4,136968,x,x,x
group_6_9,938940800,8,1-5,25008,1690835,x,x