Benchmark name,Attractor colors,Unknown functions,Arity range,One-step (ms),Permanent (ms),Temporary (ms),Old one-step (ms)
group_5_1,24195360,6,0-5,11960,181589,9663563,x
group_2_17,140,3,1-3,109,1328,159823,x
group_6_5,48102680,4,1-5,4206,36127,905615,x
group_6_10,374653020,6,1-5,6569,54441,412976,x
group_2_3,95,2,2-3,400,6294,41080,x
group_1_7,1,1,0-0,24,523,14641,x
group_3_11,7580,1,5-5,1896,7333,47112,x
group_3_9,5054,3,3-3,1094,32723,253778,x
group_4_2,74130,4,0-5,5049,31316,50994,x
group_1_12,5,1,2-2,168,4064,31618,x
group_4_13,606480,6,0-5,13204,234901,4857553,x
group_5_8,2816940,7,0-5,5851,39362,121466,x
group_3_18,27436,7,0-3,357,4579,426500,x
group_6_19,50641080,10,0-4,2169,27148,5939610,x
group_5_15,3183600,4,2-5,7383,174345,2060725,x
group_1_13,1,1,0-0,154,3524,21743,x
group_4_3,90960,4,0-5,9890,88474,2695366,x
group_4_12,704235,3,2-5,8164,97077,299652,x
group_5_9,14955584,6,0-5,5692,106361,6356252,x
group_2_20,228,4,0-3,716,11580,100202,x
group_3_1,25270,5,0-3,1460,42926,287923,x
group_3_19,6346,5,0-4,3167,52942,1609722,x
group_6_18,40325600,7,0-5,2824,11323,381964,x
group_5_14,13681900,5,0-5,20955,244427,17320470,x
group_6_4,112381080,3,1-5,84668,2538967,41742584,x
group_2_16,100,2,2-4,651,6788,46725,x
group_2_2,760,3,1-4,785,8271,62072,x
group_6_11,57272650,7,1-4,5570,217058,10982217,x
group_1_6,28,2,1-3,441,13882,62912,x
group_3_8,11476,8,0-3,827,8322,1400939,x
group_3_10,14896,7,0-3,1477,49018,604788,x
group_4_10,74130,3,1-5,6531,45739,66691,x
group_4_1,140847,2,3-5,6879,53583,75869,x
group_1_11,28,2,1-3,53,837,23242,x
group_5_16,2174664,4,2-5,2778,65965,3211571,x
group_2_9,501,2,2-4,544,11341,384148,x
group_3_3,22800,6,0-4,1340,17331,183067,x
group_2_14,38,2,1-3,490,18752,157255,x
group_6_6,363168888,5,2-5,4917,245614,7237815,x
group_4_8,288040,4,0-5,1960,8087,67635,x
group_1_18,19,1,3-3,512,11735,156417,x
group_5_2,2400004,5,2-4,4546,68524,8003751,x
group_4_19,1006008,3,2-5,4895,185526,8457376,x
group_5_20,16901640,7,0-5,7275,69366,336810,x
group_3_12,5054,3,3-3,223,2602,115236,x
group_1_4,10,2,1-2,214,8378,31782,x
group_6_13,454732320,9,0-5,8338,152453,5861637,x
group_6_7,1072660960,6,1-5,3505,14537,1584012,x
group_2_15,722,3,1-3,232,3349,293594,x
group_1_19,19,1,3-3,358,11909,43852,x
group_4_9,140560,4,0-5,1413,26097,336770,x
group_5_3,20162800,6,0-5,12896,182316,12586116,x
group_4_18,50540,6,0-3,1518,44369,343567,x
group_3_13,26600,8,0-3,1354,66734,871851,x
group_1_5,1,1,0-0,24,507,15390,x
group_2_1,168,1,5-5,1354,27229,154321,x
group_6_12,38309320,4,3-5,2466,9823,323921,x
group_4_11,327320,5,1-4,5767,131515,9066783,x
group_1_10,6,2,0-3,377,6084,33797,x
group_5_17,25320540,9,0-4,2115,26410,6104096,x
group_2_8,190,3,1-3,623,13835,219372,x
group_3_2,18620,5,0-3,239,1958,282663,x
group_5_12,10060080,7,0-5,5094,191854,7658403,x
group_1_9,14,1,3-3,426,13032,48595,x
group_3_7,21660,6,0-3,1205,25538,340256,x
group_4_14,227400,4,0-5,6670,94301,900365,x
group_1_15,10,2,1-2,36,634,17876,x
group_4_5,84336,3,2-5,3719,43454,1970029,x
group_3_20,25270,4,2-3,1187,21463,337833,x
group_2_19,70,3,0-3,64,848,24829,x
group_3_16,15162,4,2-3,290,3725,316763,x
group_6_17,103982440,6,0-5,37674,390416,61898377,x
group_2_4,532,3,1-3,1071,32623,255645,x
group_6_2,590812600,9,0-4,6820,277221,6502836,x
group_2_10,57,3,0-3,121,1718,51869,x
group_5_6,2592360,5,1-5,2375,14130,199057,x
group_1_1,19,1,3-3,104,1462,45672,x
group_3_17,3360,5,0-5,1801,34499,244624,x
group_2_5,570,4,0-3,938,19490,248427,x
group_6_16,35444080,5,0-5,5194,39794,2188935,x
group_2_11,104,4,0-3,244,2698,235996,x
group_6_3,289192160,5,0-5,16009,406774,6121195,x
group_5_7,4032560,4,1-5,2345,8811,246881,x
group_5_13,5633880,5,0-5,7855,61910,372304,x
group_1_8,6,2,1-2,35,899,23380,x
group_3_6,4704,4,0-5,2477,47046,342795,x
group_6_20,47042898,5,0-5,18721,212024,5038397,x
group_4_15,114456,4,0-5,1758,29992,598418,x
group_4_4,76304,4,0-5,1644,26428,385105,x
group_1_14,28,2,1-3,89,1107,131348,x
group_2_18,38,2,1-3,373,13228,53289,x
group_5_18,2304624,6,0-5,9606,209835,3832988,x
group_6_14,481090260,9,0-4,1914,38529,4079048,x
group_2_7,835,2,2-4,2673,44967,1474922,x
group_1_20,19,1,3-3,70,895,27572,x
group_3_15,15960,3,2-5,4221,83381,989939,x
group_1_3,1,1,0-0,141,6644,25958,x
group_5_5,1144560,5,1-5,1806,32360,638188,x
group_6_1,913950920,6,0-5,5207,31859,2115190,x
group_2_13,190,3,1-3,566,20650,163181,x
group_3_4,6024,2,2-5,1536,22221,347452,x
group_5_11,2816940,7,0-5,7699,79035,170737,x
group_6_8,535218600,7,0-5,7727,67074,399530,x
group_1_16,10,2,1-2,185,10968,44527,x
group_4_6,207564,4,0-5,8730,61771,101097,x
group_4_17,36100,4,2-4,1351,21948,302756,x
group_3_5,7580,1,5-5,6052,66596,566433,x
group_5_10,4694704,3,3-5,3890,148491,5881646,x
group_6_9,1067620260,5,0-5,45659,2033471,10609240,x
group_4_7,47040,6,0-5,3186,73794,1117466,x
group_1_17,3,1,2-2,31,614,16678,x
group_4_16,151600,5,0-5,9828,73700,2245511,x
group_5_19,6859000,7,1-4,1924,48821,951984,x
group_2_6,835,2,2-4,582,11310,402464,x
group_6_15,1063322400,7,1-5,3719,26649,636830,x
group_4_20,606480,8,0-3,2062,30469,612954,x
group_3_14,2166,3,3-3,891,14782,140744,x
group_1_2,14,1,3-3,50,736,22160,x
group_5_4,27363800,5,1-5,49382,506302,x,x
group_2_12,38,2,1-3,73,986,31077,x